Authors,Sum Of Times Cited,Publications,Num Patentes
HERNANDEZ AVALOS PEDRO AARON,19,3,
HERNANDEZ MAYA ROBERTO CARLOS,18,7,
BOTELLO MENDEZ ANDRES RAFAEL,4905,41,
MORALES REYNAGA LLUVIA CAROLINA,NaN,NaN,
GONZALEZ HERRERA IRMA GABRIELA,305,14,
REGLA CONTRERAS JOSE IGNACIO,NaN,NaN,
ALZATE GAVIRIA LILIANA MARIA,212,9,
GARCIA HERNANDEZ JOSE JUAN,179,45,
SUAREZ DOMINGUEZ EDGARDO JONATHAN,85,40,
BENAVIDES LOZANO JORGE ALEJANDRO,NaN,NaN,
DELGADO COELLO BLANCA ALICIA,411,36,
MARTINEZ CASTAÑON GABRIEL ALEJANDRO,2910,91,
RAMOS MURILLO MANUEL ANTONIO,NaN,NaN,
RIVILLAS ACEVEDO LINA ANDREA,38,25,
FUENTES AGUILAR RITA QUETZIQUEL,1,2,
SANCHEZ PARDO MARIA ELENA,338,36,
LORIA BASTARRACHEA MARIA ISABEL DE LOS DOLORES,19,1,
BADILLO CORONA JESUS AGUSTIN,599,29,
FLORES RAMOS MIGUEL ANGEL,48,13,
RODRIGUEZ SANCHEZ DARIANA GRACIELA,NaN,NaN,
GUTIERREZ URIBE JANET ALEJANDRA,3585,139,
RUIZ RUIZ FEDERICO AUGUSTO,1074,47,
VILLARREAL GUERRA BLANCA LORENA,0,2,
SANCHEZ LLAMAZARES JOSE LUIS,2382,190,
ENRIQUEZ CARREJO JOSE LUIS,153,15,
PONCE ESPINOSA HIRAM EREDIN,NaN,NaN,
IBARRA GAYTAN PABLO JESUS,107,6,
LEAL CHAVEZ DANIEL ARTURO,80,5,
SANCHEZ VALDES CESAR FIDEL,328,13,
