Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Discrete sliding mode control for DC/DC converters,"Orosco, R; Vázquez, N",,,,"VII IEEE INTERNATIONAL POWER ELECTRONICS CONGRESS, TECHNICAL PROCEEDINGS: CIEP 2000",2000,2000,,,,,,231.0,236,,10.1109/CIEP.2000.891419,7th IEEE International Power Electronics Congress (CIEP 2000),"OCT 15-19, 2000",10,"0,4",0,0,1,0,2,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
A Different Three-Port DC/DC Converter for Standalone PV System,"Vazquez, Nimrod; Manuel Sanchez, Carlos; Hernandez, Claudia; Vazquez, Esli; del Carmen Garcia, Luz; Arau, Jaime",,,,INTERNATIONAL JOURNAL OF PHOTOENERGY,2014,2014,2014.0,,,,,,,692934,10.1155/2014/692934,,,9,"0,82",0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,3,1,1
Asymmetrical Bidirectional DC-DC Converter With Limited Reverse Power Rating in Smart Transformer,"Zhu, Rongwu; Hoffmann, Felix; Vazquez, Nimrod; Wang, Kangan; Liserre, Marco",,,,IEEE TRANSACTIONS ON POWER ELECTRONICS,JUL 2020,2020,35.0,7.0,,,,6895.0,6905,,10.1109/TPEL.2019.2957407,,,7,"1,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1
Z and qZ Source Inverters as Electronic Ballast,"Vazquez, Nimrod; Baeza, Edgar; Perea, Alejandro; Hernandez, Claudia; Vazquez, Esli; Lopez, Hector",,,,IEEE TRANSACTIONS ON POWER ELECTRONICS,NOV 2016,2016,31.0,11.0,,,,7651.0,7660,,10.1109/TPEL.2016.2519393,,,7,"0,78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,1,0,0
Computer vision based inverted pendulum,"Wenzel, L; Vazquez, N; Nair, D; Jamal, R",,,,IMTC/2000: PROCEEDINGS OF THE 17TH IEEE INSTRUMENTATION AND MEASUREMENT TECHNOLOGY CONFERENCE: SMART CONNECTIVITY: INTEGRATING MEASUREMENT AND CONTROL,2000,2000,,,,,,1319.0,1323,,,17th IEEE Instrumentation and Measurement Technology Conference,"MAY 01-04, 2000",7,"0,28",0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Multiwinding based Semi-Dual Active Bridge Converter,"Hoffmann, Felix; Lafrenz, Jan-Ludwig; Liserre, Marco; Vazquez, Nimrod",,,,2020 THIRTY-FIFTH ANNUAL IEEE APPLIED POWER ELECTRONICS CONFERENCE AND EXPOSITION (APEC 2020),2020,2020,,,,,,2142.0,2149,,10.1109/apec39645.2020.9124525,IEEE Applied Power Electronics Conference and Exposition (APEC),"MAR 15-19, 2020",6,"1,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0
Isolated Multiport Converter as Cost Efficient Solution for DC-Fast Charger of Electric Vehicle,"Hoffmann, Felix; Lafrenz, Jan-Ludwig; Liserre, Marco; Vazquez, Nimrod",,,,45TH ANNUAL CONFERENCE OF THE IEEE INDUSTRIAL ELECTRONICS SOCIETY (IECON 2019),2019,2019,,,,,,4905.0,4910,,,45th Annual Conference of the IEEE Industrial Electronics Society (IECON),"OCT 14-17, 2019",6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1
Eight Levels Multilevel Voltage Source Inverter Modulation Technique,"Lopez, Hector; Rodriguez-Resendiz, J.; Alfaro-Rodriguez, J. J.; Vazquez, Nimrod; Dominguez-Gonzalez, A.",,,,IEEE LATIN AMERICA TRANSACTIONS,APR 2018,2018,16.0,4.0,,,,1121.0,1127,,,,,6,"0,86",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0
Delayed quadratic buck converter,"Vazquez, Nimrod; Augusto Reyes-Malanche, Josue; Vazquez, Esli; Osorio, Rene; Hernandez, Claudia",,,,IET POWER ELECTRONICS,OCT 26 2016,2016,9.0,13.0,,,,2534.0,2542,,10.1049/iet-pel.2015.0779,,,6,"0,67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1,0,0
Unity Power Factor Rectifier with Reactive and Harmonic Current Compensation,"Gonzalez, O.; Perez-Ramirez, J.; Beristain, J. A.; Rodriguez, E. J. J.; Vazquez, N.",,,,PROCEEDINGS OF THE 2016 13TH INTERNATIONAL CONFERENCE ON POWER ELECTRONICS (CIEP),2016,2016,,,,,,238.0,242,,,13th International Conference on Power Electronics (CIEP),"JUN 20-23, 2016",6,"0,67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0
